TEST NAME,COMPANY ,LINK,Action (Coded),Cancer Type (Coded),FLUID TYPE,FDA Appr?,CLIA/CAP cert?,Target (Coded),Appl. Genes/Proteins,Notes,,,TARGET,,,Dev. Stage,Turnaround Time ,,Location,Requirements,Cost,,ACTION,CANCER TYPE,TEST TYPE
4D Lifetest Lung Dx,4D Lifetec,https://4dlifetec.com/cancer-detect-test/,Early Detection,Lung,Blood,No,No,CTC,,DDS (DNA Damage sensitivity) is used to identify CTCs,,,DDS (DNA gamage),,,In Development,,,,,,,Early Detection,Lung,LB
ROCA,Abcodia,www.therocatest.co.uk,Risk Assessment ,Ovarian,Blood,No,No,Protein,"BRCA1/BRCA2 deficient, CA-125 ",To delay or prevent removal of ovaries,,,CA-125,,,Available by request ,,,UK only,BRCA1 or BRCA2 mutation,,,Txt Guidance,Ovarian,LB
GemciTest,Acobiom,https://www.acobiom.com/en/gemcitest-first-predictive-diagnostic-test-in-pancreatic-cancer/,Txt Guidance,Pancreatic,Blood,No,No,mRNA,,For Gemcitabine specifically,,,,,,,7 days,,France,,,,Txt Guidance (Gemcitabine),Pancreatic Adeno (met),LB
ACT Monitor Colon,ACT Genomics,https://www.actgenomics.com/tests-professional/actmonitor-colon,MRD (recurrance),Colorectal (CRC),Blood,No,Yes,ctDNA,,,,,ctDNA,,,,10 days,,,,,,MRD (recurrance),CRC,LB
ACT Monitor Breast,ACT Genomics,https://www.actgenomics.com/tests-professional/actmonitor-breast,MRD (recurrance),Breast,Blood,No,Yes,ctDNA,,,,,ctDNA,,,,10 days,,,,,,MRD (recurrance),Breast,LB
ACT Monitor Lung,ACT Genomics,https://www.actgenomics.com/tests-professional/actmonitor-lung,MRD (recurrance),Lung,Blood,No,Yes,ctDNA,,,,,ctDNA,,,,10 days,,,,,,MRD (recurrance),Lung,LB
ACT Monitor +,ACT Genomics,https://actgenomics.webflow.io/tests-professional/actmonitor,MRD (recurrance),Solid Tumors,Blood,No,Yes,ctDNA,,,,,ctDNA,,,,10 days,,,,,,MRD (recurrance),Solid Tumors,LB
ACT Cerebra,ACT Genomics,https://actgenomics.webflow.io/tests-professional/actcerebra,Txt Guidance,Brain,CSF,No,Yes,cfDNA,,Must be SOLID TUMOR met. Gene-based,,,cfDNA,,,,8 days,,,,,,Profiling,Brain (met),LB
ACT Liquid PRO,ACT Genomics,https://www.actgenomics.com/tests-professional/actliquid,Txt Guidance,Solid Tumors,Blood,No,Yes,ctDNA,,Gene-Based,,,,,,,7 days,,,,,,Txt Guidance (Gene Based),Pan-Solid Tumors,LB
PreveCol,Amadix,https://amadix.com/prevecol/,Early Detection,Colorectal (CRC),Blood,Yes ,Yes,mRNA,,Novel mRNA biomarkers? FDA breakthrough device approval Dec 2023,,,,,,,,,Spain,,450 euro,,Malignancy Assessment (Primary),CRC,LB
